time, e1, e2, e3, e4, e5, e6, e7, e8, position 
5,695,948,795,926,468,713,246,278,0
5,552,763,627,741,373,564,196,227,0
5,470,632,528,622,318,478,167,187,0
5,342,476,391,461,233,349,122,140,0
5,241,344,256,326,158,238,85,98,0
5,168,236,189,226,117,171,62,68,0
5,140,198,151,187,93,140,50,59,0
5,124,175,136,165,84,125,45,50,0
5,100,150,112,139,71,103,39,43,0
5,87,132,97,123,63,91,33,40,0
5,79,121,90,114,62,87,33,36,0
5,81,122,86,112,60,84,32,36,0
5,75,119,85,113,58,82,32,37,0
5,76,117,81,112,55,78,31,35,0
5,77,116,83,110,52,75,31,33,0
5,77,119,85,107,50,77,32,34,0
5,75,118,87,107,50,75,32,33,0
5,76,117,87,106,49,77,32,33,0
5,75,119,86,106,48,76,31,34,0
5,76,118,83,109,52,79,32,32,0
5,76,118,82,110,51,76,33,34,0
5,75,117,82,113,53,79,31,36,0
5,76,118,84,113,55,79,31,39,0
5,77,117,83,111,53,80,31,38,0
5,77,118,85,113,55,77,33,40,0
5,77,118,85,112,59,77,29,38,0
5,80,122,84,113,56,79,32,38,0
5,79,122,83,113,57,76,34,33,0
5,79,123,86,114,58,76,33,34,0
5,77,121,86,110,55,80,32,33,0
5,78,122,86,112,51,83,33,36,0
5,78,120,86,111,56,80,32,36,0
5,78,121,86,109,57,82,34,40,0
5,77,122,86,110,57,79,34,39,0
6,79,121,85,113,58,78,36,39,0
6,80,121,86,112,60,76,35,36,0
6,79,120,86,111,55,75,35,34,0
6,78,117,85,113,53,73,31,31,0
6,78,119,86,112,54,77,31,30,0
6,75,119,86,111,58,76,29,32,0
6,74,121,84,111,56,76,31,36,0
6,74,124,85,113,57,80,30,37,0
6,75,124,82,109,59,81,33,37,0
6,74,122,80,109,58,78,34,37,0
6,75,122,82,108,55,79,35,39,0
6,74,118,83,107,55,80,33,38,0
6,75,116,85,108,55,78,33,40,0
6,74,118,86,113,53,76,32,40,0
6,73,118,87,114,53,78,31,40,0
6,76,115,88,111,54,78,31,36,0
6,75,116,87,113,54,79,31,35,0
6,76,118,86,112,53,79,30,31,0
6,74,117,87,106,53,79,30,30,0
6,75,122,84,107,54,79,29,30,0
6,70,123,84,109,55,77,30,33,0
6,74,126,85,110,53,76,31,33,0
6,74,126,84,114,54,77,32,36,0
6,77,124,85,118,53,78,31,35,0
6,78,122,88,118,55,79,31,39,0
6,80,120,88,119,56,82,29,37,0
6,77,118,87,119,57,82,31,38,0
6,78,121,88,117,56,81,31,37,0
6,80,124,86,120,58,80,34,37,0
6,81,123,86,119,57,80,34,34,0
6,82,124,86,117,55,76,34,35,0
6,82,123,86,115,58,77,33,33,0
6,81,121,87,114,62,80,32,34,0
6,79,119,89,109,59,79,32,34,0
6,79,122,89,108,58,79,33,34,0
6,75,122,88,107,60,81,34,32,0
6,80,123,86,108,58,82,31,33,0
6,78,122,84,109,55,79,33,34,0
6,77,122,84,109,55,81,32,34,0
6,76,121,82,115,58,79,30,36,0
6,77,118,81,113,54,78,29,39,0
6,71,118,80,112,53,78,29,38,0
6,72,118,84,111,55,76,28,37,0
6,72,116,81,111,54,75,27,36,0
6,72,118,82,108,50,75,28,37,0
6,75,118,82,109,52,75,29,34,0
6,78,119,83,109,51,74,30,35,0
6,76,118,82,108,50,76,34,35,0
6,75,118,83,109,51,74,33,39,0
6,77,117,84,109,55,75,35,37,0
7,72,117,88,106,54,74,36,37,0
7,74,120,86,108,57,76,38,38,0
7,75,118,86,110,55,77,34,36,0
7,77,121,84,111,57,80,37,31,0
7,74,121,83,115,55,80,33,34,0
7,77,123,81,115,60,80,32,35,0
7,74,120,81,113,57,78,30,35,0
7,77,121,84,112,60,76,32,36,0
7,77,123,85,109,57,76,30,37,0
7,79,120,85,106,56,80,30,35,0
7,76,119,84,106,54,79,30,35,0
7,76,118,84,108,55,80,29,34,0
7,72,117,81,108,52,78,28,36,0
7,72,116,79,110,51,75,28,36,0
7,71,115,79,110,55,71,30,36,0
7,72,114,81,110,55,71,29,36,0
7,72,115,82,110,54,72,29,35,0
7,76,115,83,109,52,73,31,33,0
7,75,115,85,110,55,76,31,36,0
7,74,116,84,111,54,76,31,35,0
7,73,115,85,111,53,78,32,36,0
7,74,117,84,111,58,78,32,36,0
7,73,116,83,111,58,80,31,37,0
7,72,117,81,111,58,79,30,33,0
7,72,115,84,110,55,78,30,35,0
7,71,115,82,109,54,75,28,34,0
7,72,111,84,109,52,75,28,34,0
7,72,113,84,108,53,75,28,31,0
7,75,114,84,107,52,75,29,32,0
7,74,117,82,107,55,75,29,31,0
7,75,118,81,107,56,75,31,32,0
7,75,120,82,109,56,78,32,34,0
7,75,123,81,110,53,75,31,37,0
7,73,121,84,110,54,76,32,38,0
7,73,119,85,110,53,75,31,37,0
7,73,117,87,110,53,78,30,36,0
7,71,115,85,110,51,75,30,34,0
7,72,113,88,109,56,76,31,33,0
7,72,117,85,111,53,75,31,31,0
7,71,114,84,108,53,75,31,32,0
7,72,117,81,110,53,74,31,34,0
7,71,119,81,110,53,75,33,33,0
7,68,117,78,109,50,72,32,32,0
7,69,119,77,108,51,74,32,34,0
7,68,116,78,110,50,73,32,35,0
7,68,115,81,108,50,73,31,34,0
7,69,115,80,105,49,73,30,35,0
7,69,115,81,106,51,74,29,37,0
7,70,112,83,109,54,73,28,35,0
7,71,116,82,107,53,75,29,34,0
8,71,114,79,109,54,73,29,32,0
8,74,113,78,109,54,73,29,33,0
8,74,114,77,108,51,74,30,33,0
8,72,117,79,106,51,73,29,33,0
8,74,115,79,108,52,73,29,33,0
8,74,113,81,106,53,75,30,36,0
8,72,115,84,111,53,76,32,35,0
8,72,116,87,110,56,77,32,34,0
8,75,116,84,111,57,76,32,34,0
8,72,116,83,108,56,74,32,34,0
8,74,118,81,109,55,73,29,32,0
8,74,115,81,108,54,74,27,32,0
8,73,113,79,108,51,72,27,32,0
8,71,111,81,109,52,73,30,32,0
8,73,110,82,110,55,73,30,34,0
8,70,113,81,109,54,77,31,36,0
8,67,118,81,109,54,73,31,34,0
8,68,120,81,109,54,75,31,35,0
8,68,122,80,110,52,76,27,35,0
8,69,124,80,109,53,76,27,34,0
8,70,123,84,109,54,73,29,32,0
8,72,119,82,110,54,77,28,35,0
8,75,120,82,110,54,77,31,35,0
8,74,118,84,109,52,76,31,36,0
8,71,119,83,108,49,77,33,36,0
8,70,119,81,109,53,74,32,36,0
8,70,118,82,108,53,72,32,34,0
8,66,116,80,106,53,70,33,35,0
8,66,117,80,109,54,68,32,35,0
8,66,115,79,107,55,67,31,35,0
8,68,113,78,107,54,70,29,32,0
8,68,116,76,106,54,68,30,35,0
8,73,115,78,108,55,69,29,32,0
8,73,116,77,107,56,74,28,34,0
8,75,114,76,107,56,73,28,34,0
8,74,116,78,108,52,73,29,36,0
8,74,115,80,107,54,78,28,34,0
8,73,116,79,107,50,78,25,35,0
8,74,114,81,108,53,78,27,33,0
8,72,117,82,112,55,76,28,33,0
8,72,117,81,110,55,77,27,30,0
8,73,119,79,109,51,73,29,34,0
8,72,121,78,109,53,71,31,32,0
8,70,120,78,108,51,70,32,34,0
8,70,120,79,105,48,73,31,35,0
8,71,119,79,106,48,73,32,35,0
8,68,115,83,107,54,75,32,31,0
8,68,113,83,108,54,75,32,32,0
8,69,113,84,112,53,75,31,30,0
8,70,113,84,113,55,73,33,33,0
9,70,113,83,114,56,73,32,33,0
9,71,114,82,113,55,74,29,34,0
9,72,115,83,110,55,74,29,32,0
9,71,113,80,106,56,74,28,33,0
9,71,109,78,105,53,77,26,30,0
